city;county;region;latitude;longitude
Bratislava - Staré Mesto;Bratislava I;Bratislavskı;48.1405887;17.1123274
Bratislava - Podunajské Biskupice;Bratislava II;Bratislavskı;48.1180479;17.2081145
Bratislava - Ruinov;Bratislava II;Bratislavskı;48.1493142;17.1645049
Bratislava - Vrakuòa;Bratislava II;Bratislavskı;48.1432508;17.2057242
Bratislava - Nové Mesto;Bratislava III;Bratislavskı;48.1671622;17.1383524
Bratislava - Raèa;Bratislava III;Bratislavskı;48.2117887;17.1534331
Bratislava - Vajnory;Bratislava III;Bratislavskı;48.2049103;17.2065787
Bratislava - Devín;Bratislava IV;Bratislavskı;48.1745864;16.9826096
Bratislava - Devínska Nová Ves;Bratislava IV;Bratislavskı;48.2112273;16.9763346
Bratislava - Dúbravka;Bratislava IV;Bratislavskı;48.1898867;17.0349323
Bratislava - Karlova Ves;Bratislava IV;Bratislavskı;48.1604592;17.0474302
Bratislava - Lamaè;Bratislava IV;Bratislavskı;48.1931981;17.0508819
Bratislava - Záhorská Bystrica;Bratislava IV;Bratislavskı;48.2369018;17.0487005
Bratislava - Èunovo;Bratislava V;Bratislavskı;48.0307363;17.1994899
Bratislava - Jarovce;Bratislava V;Bratislavskı;48.0706266;17.0924306
Bratislava - Petralka;Bratislava V;Bratislavskı;48.110972;17.1112897
Bratislava - Rusovce;Bratislava V;Bratislavskı;48.0560336;17.1450367
Borinka;Malacky;Bratislavskı;48.2629407;17.1359513
Gajary;Malacky;Bratislavskı;48.4616155;16.9167392
Jablonové;Malacky;Bratislavskı;48.3494401;17.0928484
Jakubov;Malacky;Bratislavskı;48.4156425;16.9187747
Kostolište;Malacky;Bratislavskı;48.4451138;16.9784105
Kuchyòa;Malacky;Bratislavskı;48.405966;17.1824958
Láb;Malacky;Bratislavskı;48.3615898;16.9621004
Lozorno;Malacky;Bratislavskı;48.3211239;17.0702692
Malacky;Malacky;Bratislavskı;48.439005;17.0232532
Malé Leváre;Malacky;Bratislavskı;48.5029695;16.9517711
Marianka;Malacky;Bratislavskı;48.2452495;17.0648023
Pernek;Malacky;Bratislavskı;48.3622697;17.1595155
Plavecké Podhradie;Malacky;Bratislavskı;48.4787311;17.2791783
Plaveckı Mikuláš;Malacky;Bratislavskı;48.5107215;17.297664
Plaveckı Štvrtok;Malacky;Bratislavskı;48.3905196;16.981052
Rohoník;Malacky;Bratislavskı;48.4398372;17.188055
Sološnica;Malacky;Bratislavskı;48.4593339;17.2392905
Studienka;Malacky;Bratislavskı;48.5265874;17.1361388
Stupava;Malacky;Bratislavskı;48.2789618;16.9955023
Suchohrad;Malacky;Bratislavskı;48.4042037;16.8783309
Ve¾ké Leváre;Malacky;Bratislavskı;48.5040566;17.0105217
Vysoká pri Morave;Malacky;Bratislavskı;48.3233185;16.9259597
Záhorie (vojenskı obvod);Malacky;Bratislavskı;48.500239;17.1192594
Záhorská Ves;Malacky;Bratislavskı;48.3777334;16.8665967
Závod;Malacky;Bratislavskı;48.5461795;17.0447954
Zohor;Malacky;Bratislavskı;48.3149729;16.9755522
Báhoò;Pezinok;Bratislavskı;48.305885;17.4336735
Budmerice;Pezinok;Bratislavskı;48.3608105;17.4092339
Èastá;Pezinok;Bratislavskı;48.4052172;17.3248332
Do¾any;Pezinok;Bratislavskı;48.4271555;17.3586481
Dubová;Pezinok;Bratislavskı;48.3663250;17.3393850
Jablonec;Pezinok;Bratislavskı;48.3398921;17.4523892
Limbach;Pezinok;Bratislavskı;48.2992101;17.188161
Modra;Pezinok;Bratislavskı;48.3542571;17.2965282
Pezinok;Pezinok;Bratislavskı;48.3182538;17.2263325
Píla;Pezinok;Bratislavskı;48.3908850;17.3318280
Slovenskı Grob;Pezinok;Bratislavskı;48.2509865;17.2839271
Svätı Jur;Pezinok;Bratislavskı;48.2480193;17.2001151
Šenkvice;Pezinok;Bratislavskı;48.283843;17.3515069
Štefanová;Pezinok;Bratislavskı;48.3869475;17.4054314
Vinièné;Pezinok;Bratislavskı;48.268485;17.3019036
Vinosady;Pezinok;Bratislavskı;48.3166175;17.2893588
Vištuk;Pezinok;Bratislavskı;48.3275074;17.3953774
Bernolákovo;Senec;Bratislavskı;48.1968022;17.3131591
Blatné;Senec;Bratislavskı;48.2707872;17.4129453
Boldog;Senec;Bratislavskı;48.2353325;17.4252266
Èataj;Senec;Bratislavskı;48.2660974;17.4771293
Dunajská Luná;Senec;Bratislavskı;48.078805;17.2609264
Hamuliakovo;Senec;Bratislavskı;48.0319435;17.2514391
Hrubá Borša;Senec;Bratislavskı;48.1773309;17.4813717
Hrubı Šúr;Senec;Bratislavskı;48.1703593;17.4150639
Hurbanova Ves;Senec;Bratislavskı;48.15596;17.4455856
Chorvátsky Grob;Senec;Bratislavskı;48.2216617;17.2494334
Igram;Senec;Bratislavskı;48.2716164;17.4511714
Ivanka pri Dunaji;Senec;Bratislavskı;48.1892304;17.2539016
Kalinkovo;Senec;Bratislavskı;48.0573978;17.2311999
Kaplna;Senec;Bratislavskı;48.2934949;17.4524513
Kostolná pri Dunaji;Senec;Bratislavskı;48.1720202;17.4439253
Krá¾ová pri Senci;Senec;Bratislavskı;48.1915556;17.4784002
Malinovo;Senec;Bratislavskı;48.1612095;17.3010493
Miloslavov;Senec;Bratislavskı;48.1035756;17.2990439
Most pri Bratislave;Senec;Bratislavskı;48.1455448;17.2638856
Nová Dedinka;Senec;Bratislavskı;48.1845879;17.3602041
Novı Svet;Senec;Bratislavskı;48.2142130;17.4788540
Reca;Senec;Bratislavskı;48.2274506;17.4628261
Rovinka;Senec;Bratislavskı;48.097582;17.2361107
Senec;Senec;Bratislavskı;48.2345524;17.3855778
Tomášov;Senec;Bratislavskı;48.146688;17.3287703
Tureò;Senec;Bratislavskı;48.1921833;17.3892438
Ve¾kı Biel;Senec;Bratislavskı;48.2263293;17.3473811
Vlky;Senec;Bratislavskı;48.1545121;17.3654524
Zálesie;Senec;Bratislavskı;48.1635559;17.2728836
Báè;Dunajská Streda;Trnavskı;48.0045275;17.377711
Baka;Dunajská Streda;Trnavskı;47.9046685;17.5265767
Baloò;Dunajská Streda;Trnavskı;47.8300902;17.6700761
Bellova Ves;Dunajská Streda;Trnavskı;48.08632;17.508937
Blahová;Dunajská Streda;Trnavskı;48.0860549;17.5384211
Blatná na Ostrove;Dunajská Streda;Trnavskı;48.0060487;17.440189
Bodíky;Dunajská Streda;Trnavskı;47.9259092;17.4576976
Bohe¾ov;Dunajská Streda;Trnavskı;47.9189841;17.6946
Èakany;Dunajská Streda;Trnavskı;48.1161884;17.3630666
Èenkovce;Dunajská Streda;Trnavskı;48.1062067;17.4331093
Èiliská Radvaò;Dunajská Streda;Trnavskı;47.8350071;17.6924301
Dobrohoš;Dunajská Streda;Trnavskı;47.983335;17.3666631
Dolnı Bar;Dunajská Streda;Trnavskı;47.9665158;17.6858624
